Year,AL Winner,Wins,Wins,NL Winner,Series MVP
1989,Oakland Athletics,4,0,San Francisco Giants,Dave Stewart
1988,Oakland Athletics,1,4,Los Angeles Dodgers,Orel Hershiser
1987,Minnesota Twins,4,3,St. Louis Cardinals,Frank Viola
1986,Boston Red Sox,3,4,New York Mets,Ray Knight
1985,Kansas City Royals,4,3,St. Louis Cardinals,Bret Saberhagen
1984,Detroit Tigers,4,1,San Diego Padres,Alan Trammell
1983,Baltimore Orioles,4,1,Philadelphia Phillies,Rick Dempsey
1982,Milwaukee Brewers,3,4,St. Louis Cardinals,Darrell Porter
1981,New York Yankees,2,4,Los Angeles Dodgers,"Ron Cey, Pedro Guerrero, Steve Yeager"
1980,Kansas City Royals,2,4,Philadelphia Phillies,Mike Schmidt
1979,Baltimore Orioles,3,4,Pittsburgh Pirates,Willie Stargell
1978,New York Yankees,4,2,Los Angeles Dodgers,Bucky Dent
1977,New York Yankees,4,2,Los Angeles Dodgers,Reggie Jackson
1976,New York Yankees,0,4,Cincinnati Reds,Johnny Bench
1975,Boston Red Sox,3,4,Cincinnati Reds,Pete Rose
1974,Oakland Athletics,4,1,Los Angeles Dodgers,Rollie Fingers
1973,Oakland Athletics,4,3,New York Mets,Reggie Jackson
1972,Oakland Athletics,4,3,Cincinnati Reds,Gene Tenace
1971,Baltimore Orioles,3,4,Pittsburgh Pirates,Roberto Clemente
1970,Baltimore Orioles,4,1,Cincinnati Reds,Brooks Robinson
1969,Baltimore Orioles,1,4,New York Mets,Donn Clendenon
1968,Detroit Tigers,4,3,St. Louis Cardinals,Mickey Lolich
1967,Boston Red Sox,3,4,St. Louis Cardinals,Bob Gibson
1966,Baltimore Orioles,4,0,Los Angeles Dodgers,Frank Robinson
1965,Minnesota Twins,3,4,Los Angeles Dodgers,Sandy Koufax
1964,New York Yankees,3,4,St. Louis Cardinals,Bob Gibson
1963,New York Yankees,0,4,Los Angeles Dodgers,Sandy Koufax
1962,New York Yankees,4,3,San Francisco Giants,Ralph Terry
1961,New York Yankees,4,1,Cincinnati Reds,Whitey Ford
1960,New York Yankees,3,4,Pittsburgh Pirates,Bobby Richardson
1959,Chicago White Sox,2,4,Los Angeles Dodgers,Larry Sherry
1958,New York Yankees,4,3,Milwaukee Braves,Bob Turley
1957,New York Yankees,3,4,Milwaukee Braves,Lew Burdette
1956,New York Yankees,4,3,Brooklyn Dodgers,Don Larsen
1955,New York Yankees,3,4,Brooklyn Dodgers,Johnny Podres
1954,Cleveland Indians,0,4,New York Giants,
1953,New York Yankees,4,2,Brooklyn Dodgers,
1952,New York Yankees,4,3,Brooklyn Dodgers,
1951,New York Yankees,4,2,New York Giants,
1950,New York Yankees,4,0,Philadelphia Phillies,
1949,New York Yankees,4,1,Brooklyn Dodgers,
1948,Cleveland Indians,4,2,Boston Braves,
1947,New York Yankees,4,3,Brooklyn Dodgers,
1946,Boston Red Sox,3,4,St. Louis Cardinals,
1945,Detroit Tigers,4,3,Chicago Cubs,
1944,St. Louis Browns,2,4,St. Louis Cardinals,
1943,New York Yankees,4,1,St. Louis Cardinals,
1942,New York Yankees,1,4,St. Louis Cardinals,
1941,New York Yankees,4,1,Brooklyn Dodgers,
1940,Detroit Tigers,3,4,Cincinnati Reds,
1939,New York Yankees,4,0,Cincinnati Reds,
1938,New York Yankees,4,0,Chicago Cubs,
1937,New York Yankees,4,1,New York Giants,
1936,New York Yankees,4,2,New York Giants,
1935,Detroit Tigers,4,2,Chicago Cubs,
1934,Detroit Tigers,3,4,St. Louis Cardinals,
1933,Washington Senators,1,4,New York Giants,
1932,New York Yankees,4,0,Chicago Cubs,
1931,Philadelphia Athletics,3,4,St. Louis Cardinals,
1930,Philadelphia Athletics,4,2,St. Louis Cardinals,
1929,Philadelphia Athletics,4,1,Chicago Cubs,
1928,New York Yankees,4,0,St. Louis Cardinals,
1927,New York Yankees,4,0,Pittsburgh Pirates,
1926,New York Yankees,3,4,St. Louis Cardinals,
1925,Washington Senators,3,4,Pittsburgh Pirates,
1924,Washington Senators,4,3,New York Giants,
1923,New York Yankees,4,2,New York Giants,
1922,New York Yankees,0,4,New York Giants,
1921,New York Yankees,3,5,New York Giants,
1920,Cleveland Indians,5,2,Brooklyn Robins,
1919,Chicago White Sox,3,5,Cincinnati Reds,
1918,Boston Red Sox,4,2,Chicago Cubs,
1917,Chicago White Sox,4,2,New York Giants,
1916,Boston Red Sox,4,1,Brooklyn Robins,
1915,Boston Red Sox,4,1,Philadelphia Phillies,
1914,Philadelphia Athletics,0,4,Boston Braves,
1913,Philadelphia Athletics,4,1,New York Giants,
1912,Boston Red Sox,4,3,New York Giants,
1911,Philadelphia Athletics,4,2,New York Giants,
1910,Philadelphia Athletics,4,1,Chicago Cubs,
1909,Detroit Tigers,3,4,Pittsburgh Pirates,
1908,Detroit Tigers,1,4,Chicago Cubs,
1907,Detroit Tigers,0,4,Chicago Cubs,
1906,Chicago White Sox,4,2,Chicago Cubs,
1905,Philadelphia Athletics,1,4,New York Giants,
No World Series held in 1904 due to boycott by the New York Giants,,,,,
1903,Boston Americans,5,3,Pittsburgh Pirates,
